idHabilidadeusuario;idUsuario;descNomeHabilidade;descNivelHabilidade;dtCriacao
25;75d906c3-ab6a-4319-be67-dd39e04e930c;Gestão / Liderança;01. Aprendiz;2025-02-27 15:16:02
26;75d906c3-ab6a-4319-be67-dd39e04e930c;Git / GitHub / GitLab / BitBucket;02. Iniciante;2025-02-27 15:16:02
27;75d906c3-ab6a-4319-be67-dd39e04e930c;Inteligência Emocional;03. Profissional;2025-02-27 15:16:02
28;75d906c3-ab6a-4319-be67-dd39e04e930c;Machine Learning - Agrupamento;02. Iniciante;2025-02-27 15:16:02
29;75d906c3-ab6a-4319-be67-dd39e04e930c;Machine Learning - Associação;02. Iniciante;2025-02-27 15:16:02
30;75d906c3-ab6a-4319-be67-dd39e04e930c;Machine Learning - Classificação;02. Iniciante;2025-02-27 15:16:02
31;75d906c3-ab6a-4319-be67-dd39e04e930c;Machine Learning - Regressão;02. Iniciante;2025-02-27 15:16:02
32;75d906c3-ab6a-4319-be67-dd39e04e930c;Negociação;02. Iniciante;2025-02-27 15:16:02
33;75d906c3-ab6a-4319-be67-dd39e04e930c;Orquestrador de Pipelines;01. Aprendiz;2025-02-27 15:16:02
34;75d906c3-ab6a-4319-be67-dd39e04e930c;Python / R / Julia;02. Iniciante;2025-02-27 15:16:02
35;75d906c3-ab6a-4319-be67-dd39e04e930c;Simplificação;02. Iniciante;2025-02-27 15:16:02
36;75d906c3-ab6a-4319-be67-dd39e04e930c;SQL;02. Iniciante;2025-02-27 15:16:02
37;75d906c3-ab6a-4319-be67-dd39e04e930c;Teste de hipótese e Teste A/B;02. Iniciante;2025-02-27 15:16:02
38;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Apache Spark;00. Não esperada;2025-02-27 15:30:18
39;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Cloud;01. Aprendiz;2025-02-27 15:30:18
40;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Comunicação;03. Profissional;2025-02-27 15:30:18
41;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Docker;00. Não esperada;2025-02-27 15:30:18
42;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;ETL;00. Não esperada;2025-02-27 15:30:18
43;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Gestão / Liderança;02. Iniciante;2025-02-27 15:30:18
44;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Git / GitHub / GitLab / BitBucket;02. Iniciante;2025-02-27 15:30:18
45;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;IaC;00. Não esperada;2025-02-27 15:30:18
46;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Kubernetes;00. Não esperada;2025-02-27 15:30:18
47;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Machine Learning - Classificação;02. Iniciante;2025-02-27 15:30:18
48;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Machine Learning - Regressão;02. Iniciante;2025-02-27 15:30:18
49;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Mensageria;00. Não esperada;2025-02-27 15:30:18
50;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Modelagem de dados;01. Aprendiz;2025-02-27 15:30:18
51;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Negociação;00. Não esperada;2025-02-27 15:30:18
52;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Orquestrador de Pipelines;00. Não esperada;2025-02-27 15:30:18
53;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Python / R / Julia;02. Iniciante;2025-02-27 15:30:18
54;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;Simplificação;02. Iniciante;2025-02-27 15:30:18
55;24bb6232-4bf8-4f7c-bc32-e6ae87d804fd;SQL;01. Aprendiz;2025-02-27 15:30:18
56;edce6848-d410-45f5-9e85-069beea0113f;Apresentação / Storytelling;01. Aprendiz;2025-02-27 16:22:55
57;edce6848-d410-45f5-9e85-069beea0113f;Comunicação;01. Aprendiz;2025-02-27 16:22:55
58;edce6848-d410-45f5-9e85-069beea0113f;Data Visualization;03. Profissional;2025-02-27 16:22:55
59;edce6848-d410-45f5-9e85-069beea0113f;Estatística descritiva;02. Iniciante;2025-02-27 16:22:55
60;edce6848-d410-45f5-9e85-069beea0113f;ETL;03. Profissional;2025-02-27 16:22:55
61;edce6848-d410-45f5-9e85-069beea0113f;Gestão / Liderança;01. Aprendiz;2025-02-27 16:22:55
62;edce6848-d410-45f5-9e85-069beea0113f;Git / GitHub / GitLab / BitBucket;02. Iniciante;2025-02-27 16:22:55
63;edce6848-d410-45f5-9e85-069beea0113f;Inteligência Emocional;02. Iniciante;2025-02-27 16:22:55
64;edce6848-d410-45f5-9e85-069beea0113f;Machine Learning - Agrupamento;00. Não esperada;2025-02-27 16:22:55
65;edce6848-d410-45f5-9e85-069beea0113f;Machine Learning - Associação;00. Não esperada;2025-02-27 16:22:55
66;edce6848-d410-45f5-9e85-069beea0113f;Machine Learning - Classificação;00. Não esperada;2025-02-27 16:22:55
67;edce6848-d410-45f5-9e85-069beea0113f;Machine Learning - Regressão;00. Não esperada;2025-02-27 16:22:55
68;edce6848-d410-45f5-9e85-069beea0113f;Negociação;02. Iniciante;2025-02-27 16:22:55
69;edce6848-d410-45f5-9e85-069beea0113f;Python / R / Julia;02. Iniciante;2025-02-27 16:22:55
70;edce6848-d410-45f5-9e85-069beea0113f;Simplificação;03. Profissional;2025-02-27 16:22:55
71;edce6848-d410-45f5-9e85-069beea0113f;SQL;03. Profissional;2025-02-27 16:22:55
72;edce6848-d410-45f5-9e85-069beea0113f;Teste de hipótese e Teste A/B;03. Profissional;2025-02-27 16:22:55
73;161e5c23-8bdf-453b-bdb6-f786a9343004;Apresentação / Storytelling;;2025-02-27 16:33:48
74;161e5c23-8bdf-453b-bdb6-f786a9343004;Comunicação;;2025-02-27 16:33:48
75;161e5c23-8bdf-453b-bdb6-f786a9343004;Data Visualization;04. Expert;2025-02-27 16:33:48
76;161e5c23-8bdf-453b-bdb6-f786a9343004;Estatística descritiva;01. Aprendiz;2025-02-27 16:33:48
77;161e5c23-8bdf-453b-bdb6-f786a9343004;ETL;01. Aprendiz;2025-02-27 16:33:48
78;161e5c23-8bdf-453b-bdb6-f786a9343004;Gestão / Liderança;03. Profissional;2025-02-27 16:33:48
79;161e5c23-8bdf-453b-bdb6-f786a9343004;Git / GitHub / GitLab / BitBucket;01. Aprendiz;2025-02-27 16:33:48
80;161e5c23-8bdf-453b-bdb6-f786a9343004;Inteligência Emocional;04. Expert;2025-02-27 16:33:48
81;161e5c23-8bdf-453b-bdb6-f786a9343004;Machine Learning - Agrupamento;01. Aprendiz;2025-02-27 16:33:48
82;161e5c23-8bdf-453b-bdb6-f786a9343004;Machine Learning - Associação;01. Aprendiz;2025-02-27 16:33:48
83;161e5c23-8bdf-453b-bdb6-f786a9343004;Machine Learning - Classificação;01. Aprendiz;2025-02-27 16:33:48
84;161e5c23-8bdf-453b-bdb6-f786a9343004;Machine Learning - Regressão;01. Aprendiz;2025-02-27 16:33:48
85;161e5c23-8bdf-453b-bdb6-f786a9343004;Negociação;04. Expert;2025-02-27 16:33:48
86;161e5c23-8bdf-453b-bdb6-f786a9343004;Python / R / Julia;01. Aprendiz;2025-02-27 16:33:48
87;161e5c23-8bdf-453b-bdb6-f786a9343004;Simplificação;01. Aprendiz;2025-02-27 16:33:48
88;161e5c23-8bdf-453b-bdb6-f786a9343004;SQL;02. Iniciante;2025-02-27 16:33:48
89;161e5c23-8bdf-453b-bdb6-f786a9343004;Teste de hipótese e Teste A/B;01. Aprendiz;2025-02-27 16:33:48
90;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Apache Spark;02. Iniciante;2025-02-27 16:38:47
91;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Cloud;02. Iniciante;2025-02-27 16:38:47
92;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Comunicação;02. Iniciante;2025-02-27 16:38:47
93;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Docker;02. Iniciante;2025-02-27 16:38:47
94;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;ETL;02. Iniciante;2025-02-27 16:38:47
95;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Gestão / Liderança;02. Iniciante;2025-02-27 16:38:47
96;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Git / GitHub / GitLab / BitBucket;01. Aprendiz;2025-02-27 16:38:47
97;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;IaC;01. Aprendiz;2025-02-27 16:38:47
98;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Kubernetes;00. Não esperada;2025-02-27 16:38:47
99;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Machine Learning - Classificação;01. Aprendiz;2025-02-27 16:38:47
100;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Machine Learning - Regressão;01. Aprendiz;2025-02-27 16:38:47
101;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Mensageria;01. Aprendiz;2025-02-27 16:38:47
102;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Modelagem de dados;01. Aprendiz;2025-02-27 16:38:47
103;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Negociação;02. Iniciante;2025-02-27 16:38:47
104;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Orquestrador de Pipelines;01. Aprendiz;2025-02-27 16:38:47
105;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Python / R / Julia;02. Iniciante;2025-02-27 16:38:47
106;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;Simplificação;01. Aprendiz;2025-02-27 16:38:47
107;a7886c72-44c4-4ed9-aad6-b33df58c6ef1;SQL;02. Iniciante;2025-02-27 16:38:47
108;092341d8-97b6-4391-ab55-119203faeeaf;Apache Spark;01. Aprendiz;2025-02-27 16:38:57
109;092341d8-97b6-4391-ab55-119203faeeaf;Cloud;01. Aprendiz;2025-02-27 16:38:57
110;092341d8-97b6-4391-ab55-119203faeeaf;Comunicação;02. Iniciante;2025-02-27 16:38:57
111;092341d8-97b6-4391-ab55-119203faeeaf;Docker;02. Iniciante;2025-02-27 16:38:57
112;092341d8-97b6-4391-ab55-119203faeeaf;ETL;02. Iniciante;2025-02-27 16:38:57
113;092341d8-97b6-4391-ab55-119203faeeaf;Gestão / Liderança;02. Iniciante;2025-02-27 16:38:57
114;092341d8-97b6-4391-ab55-119203faeeaf;Git / GitHub / GitLab / BitBucket;03. Profissional;2025-02-27 16:38:57
115;092341d8-97b6-4391-ab55-119203faeeaf;IaC;01. Aprendiz;2025-02-27 16:38:57
116;092341d8-97b6-4391-ab55-119203faeeaf;Kubernetes;01. Aprendiz;2025-02-27 16:38:57
117;092341d8-97b6-4391-ab55-119203faeeaf;Machine Learning - Classificação;00. Não esperada;2025-02-27 16:38:57
118;092341d8-97b6-4391-ab55-119203faeeaf;Machine Learning - Regressão;00. Não esperada;2025-02-27 16:38:57
119;092341d8-97b6-4391-ab55-119203faeeaf;Mensageria;01. Aprendiz;2025-02-27 16:38:57
120;092341d8-97b6-4391-ab55-119203faeeaf;Modelagem de dados;01. Aprendiz;2025-02-27 16:38:57
121;092341d8-97b6-4391-ab55-119203faeeaf;Negociação;00. Não esperada;2025-02-27 16:38:57
122;092341d8-97b6-4391-ab55-119203faeeaf;Orquestrador de Pipelines;01. Aprendiz;2025-02-27 16:38:57
123;092341d8-97b6-4391-ab55-119203faeeaf;Python / R / Julia;03. Profissional;2025-02-27 16:38:57
124;092341d8-97b6-4391-ab55-119203faeeaf;Simplificação;01. Aprendiz;2025-02-27 16:38:57
125;092341d8-97b6-4391-ab55-119203faeeaf;SQL;03. Profissional;2025-02-27 16:38:57
126;646833ce-502c-41f2-833b-498281168897;Apresentação / Storytelling;03. Profissional;2025-02-27 16:48:16
127;646833ce-502c-41f2-833b-498281168897;Comunicação;02. Iniciante;2025-02-27 16:48:16
128;646833ce-502c-41f2-833b-498281168897;Data Visualization;02. Iniciante;2025-02-27 16:48:16
129;646833ce-502c-41f2-833b-498281168897;Estatística descritiva;02. Iniciante;2025-02-27 16:48:16
130;646833ce-502c-41f2-833b-498281168897;ETL;02. Iniciante;2025-02-27 16:48:16
131;646833ce-502c-41f2-833b-498281168897;Gestão / Liderança;00. Não esperada;2025-02-27 16:48:16
132;646833ce-502c-41f2-833b-498281168897;Git / GitHub / GitLab / BitBucket;00. Não esperada;2025-02-27 16:48:16
133;646833ce-502c-41f2-833b-498281168897;Inteligência Emocional;01. Aprendiz;2025-02-27 16:48:16
134;646833ce-502c-41f2-833b-498281168897;Machine Learning - Agrupamento;00. Não esperada;2025-02-27 16:48:16
135;646833ce-502c-41f2-833b-498281168897;Machine Learning - Associação;00. Não esperada;2025-02-27 16:48:16
136;646833ce-502c-41f2-833b-498281168897;Machine Learning - Classificação;00. Não esperada;2025-02-27 16:48:16
137;646833ce-502c-41f2-833b-498281168897;Machine Learning - Regressão;00. Não esperada;2025-02-27 16:48:16
138;646833ce-502c-41f2-833b-498281168897;Negociação;02. Iniciante;2025-02-27 16:48:16
139;646833ce-502c-41f2-833b-498281168897;Python / R / Julia;01. Aprendiz;2025-02-27 16:48:16
140;646833ce-502c-41f2-833b-498281168897;Simplificação;01. Aprendiz;2025-02-27 16:48:16
141;646833ce-502c-41f2-833b-498281168897;SQL;03. Profissional;2025-02-27 16:48:16
142;646833ce-502c-41f2-833b-498281168897;Teste de hipótese e Teste A/B;01. Aprendiz;2025-02-27 16:48:16
143;a42cf886-bef3-4889-b683-de34986f8d17;Apache Spark;01. Aprendiz;2025-02-27 16:49:32
144;a42cf886-bef3-4889-b683-de34986f8d17;Cloud;02. Iniciante;2025-02-27 16:49:32
145;a42cf886-bef3-4889-b683-de34986f8d17;Comunicação;03. Profissional;2025-02-27 16:49:32
146;a42cf886-bef3-4889-b683-de34986f8d17;Docker;02. Iniciante;2025-02-27 16:49:32
147;a42cf886-bef3-4889-b683-de34986f8d17;ETL;02. Iniciante;2025-02-27 16:49:32
148;a42cf886-bef3-4889-b683-de34986f8d17;Gestão / Liderança;01. Aprendiz;2025-02-27 16:49:32
149;a42cf886-bef3-4889-b683-de34986f8d17;Git / GitHub / GitLab / BitBucket;03. Profissional;2025-02-27 16:49:32
150;a42cf886-bef3-4889-b683-de34986f8d17;IaC;01. Aprendiz;2025-02-27 16:49:32
151;a42cf886-bef3-4889-b683-de34986f8d17;Kubernetes;00. Não esperada;2025-02-27 16:49:32
152;a42cf886-bef3-4889-b683-de34986f8d17;Machine Learning - Classificação;00. Não esperada;2025-02-27 16:49:32
153;a42cf886-bef3-4889-b683-de34986f8d17;Machine Learning - Regressão;00. Não esperada;2025-02-27 16:49:32
154;a42cf886-bef3-4889-b683-de34986f8d17;Mensageria;00. Não esperada;2025-02-27 16:49:32
155;a42cf886-bef3-4889-b683-de34986f8d17;Modelagem de dados;01. Aprendiz;2025-02-27 16:49:32
156;a42cf886-bef3-4889-b683-de34986f8d17;Negociação;00. Não esperada;2025-02-27 16:49:32
157;a42cf886-bef3-4889-b683-de34986f8d17;Orquestrador de Pipelines;02. Iniciante;2025-02-27 16:49:32
158;a42cf886-bef3-4889-b683-de34986f8d17;Python / R / Julia;03. Profissional;2025-02-27 16:49:32
159;a42cf886-bef3-4889-b683-de34986f8d17;Simplificação;01. Aprendiz;2025-02-27 16:49:32
160;a42cf886-bef3-4889-b683-de34986f8d17;SQL;03. Profissional;2025-02-27 16:49:32
161;7f205412-65e7-474f-ab89-e2e43d381521;Apresentação / Storytelling;00. Não esperada;2025-02-27 16:53:07
162;7f205412-65e7-474f-ab89-e2e43d381521;Comunicação;01. Aprendiz;2025-02-27 16:53:07
163;7f205412-65e7-474f-ab89-e2e43d381521;Data Visualization;01. Aprendiz;2025-02-27 16:53:07
164;7f205412-65e7-474f-ab89-e2e43d381521;Estatística descritiva;01. Aprendiz;2025-02-27 16:53:07
165;7f205412-65e7-474f-ab89-e2e43d381521;ETL;00. Não esperada;2025-02-27 16:53:07
166;7f205412-65e7-474f-ab89-e2e43d381521;Gestão / Liderança;01. Aprendiz;2025-02-27 16:53:07
167;7f205412-65e7-474f-ab89-e2e43d381521;Git / GitHub / GitLab / BitBucket;00. Não esperada;2025-02-27 16:53:07
168;7f205412-65e7-474f-ab89-e2e43d381521;Inteligência Emocional;03. Profissional;2025-02-27 16:53:07
169;7f205412-65e7-474f-ab89-e2e43d381521;Machine Learning - Agrupamento;02. Iniciante;2025-02-27 16:53:07
170;7f205412-65e7-474f-ab89-e2e43d381521;Machine Learning - Associação;00. Não esperada;2025-02-27 16:53:07
171;7f205412-65e7-474f-ab89-e2e43d381521;Machine Learning - Classificação;00. Não esperada;2025-02-27 16:53:07
172;7f205412-65e7-474f-ab89-e2e43d381521;Machine Learning - Regressão;00. Não esperada;2025-02-27 16:53:07
173;7f205412-65e7-474f-ab89-e2e43d381521;Negociação;02. Iniciante;2025-02-27 16:53:07
174;7f205412-65e7-474f-ab89-e2e43d381521;Python / R / Julia;00. Não esperada;2025-02-27 16:53:07
175;7f205412-65e7-474f-ab89-e2e43d381521;Simplificação;00. Não esperada;2025-02-27 16:53:07
176;7f205412-65e7-474f-ab89-e2e43d381521;SQL;00. Não esperada;2025-02-27 16:53:07
177;7f205412-65e7-474f-ab89-e2e43d381521;Teste de hipótese e Teste A/B;00. Não esperada;2025-02-27 16:53:07
178;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Apresentação / Storytelling;01. Aprendiz;2025-02-27 17:01:42
179;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Comunicação;01. Aprendiz;2025-02-27 17:01:42
180;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Data Visualization;02. Iniciante;2025-02-27 17:01:42
181;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Estatística descritiva;02. Iniciante;2025-02-27 17:01:42
182;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;ETL;02. Iniciante;2025-02-27 17:01:42
183;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Gestão / Liderança;01. Aprendiz;2025-02-27 17:01:42
184;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Git / GitHub / GitLab / BitBucket;00. Não esperada;2025-02-27 17:01:42
185;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Inteligência Emocional;02. Iniciante;2025-02-27 17:01:42
186;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Machine Learning - Agrupamento;00. Não esperada;2025-02-27 17:01:42
187;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Machine Learning - Associação;00. Não esperada;2025-02-27 17:01:42
188;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Machine Learning - Classificação;00. Não esperada;2025-02-27 17:01:42
189;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Machine Learning - Regressão;00. Não esperada;2025-02-27 17:01:42
190;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Negociação;02. Iniciante;2025-02-27 17:01:42
191;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Python / R / Julia;00. Não esperada;2025-02-27 17:01:42
192;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Simplificação;01. Aprendiz;2025-02-27 17:01:42
193;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;SQL;02. Iniciante;2025-02-27 17:01:42
194;8375c7d9-3d4e-4a44-ab34-ebfd0e85af3e;Teste de hipótese e Teste A/B;00. Não esperada;2025-02-27 17:01:42
195;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Apache Spark;03. Profissional;2025-02-27 17:12:40
196;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Cloud;03. Profissional;2025-02-27 17:12:40
197;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Comunicação;03. Profissional;2025-02-27 17:12:40
198;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Docker;02. Iniciante;2025-02-27 17:12:40
199;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;ETL;03. Profissional;2025-02-27 17:12:40
200;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Gestão / Liderança;03. Profissional;2025-02-27 17:12:40
201;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Git / GitHub / GitLab / BitBucket;03. Profissional;2025-02-27 17:12:40
202;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;IaC;02. Iniciante;2025-02-27 17:12:40
203;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Kubernetes;02. Iniciante;2025-02-27 17:12:40
204;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Machine Learning - Classificação;02. Iniciante;2025-02-27 17:12:40
205;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Machine Learning - Regressão;02. Iniciante;2025-02-27 17:12:40
206;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Mensageria;02. Iniciante;2025-02-27 17:12:40
207;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Modelagem de dados;03. Profissional;2025-02-27 17:12:40
208;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Negociação;02. Iniciante;2025-02-27 17:12:40
209;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Orquestrador de Pipelines;03. Profissional;2025-02-27 17:12:40
210;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Python / R / Julia;03. Profissional;2025-02-27 17:12:40
211;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;Simplificação;03. Profissional;2025-02-27 17:12:40
212;fb0c66d3-8905-454e-ab81-0b8c04fd34e0;SQL;03. Profissional;2025-02-27 17:12:40
213;08110dc1-5c93-45ad-9359-78fb21a7f240;Apresentação / Storytelling;01. Aprendiz;2025-02-27 17:15:22
214;08110dc1-5c93-45ad-9359-78fb21a7f240;Comunicação;03. Profissional;2025-02-27 17:15:22
215;08110dc1-5c93-45ad-9359-78fb21a7f240;Data Visualization;01. Aprendiz;2025-02-27 17:15:23
216;08110dc1-5c93-45ad-9359-78fb21a7f240;Estatística descritiva;01. Aprendiz;2025-02-27 17:15:23
217;08110dc1-5c93-45ad-9359-78fb21a7f240;ETL;01. Aprendiz;2025-02-27 17:15:23
218;08110dc1-5c93-45ad-9359-78fb21a7f240;Gestão / Liderança;00. Não esperada;2025-02-27 17:15:23
219;08110dc1-5c93-45ad-9359-78fb21a7f240;Git / GitHub / GitLab / BitBucket;00. Não esperada;2025-02-27 17:15:23
220;08110dc1-5c93-45ad-9359-78fb21a7f240;Inteligência Emocional;02. Iniciante;2025-02-27 17:15:23
221;08110dc1-5c93-45ad-9359-78fb21a7f240;Machine Learning - Agrupamento;00. Não esperada;2025-02-27 17:15:23
222;08110dc1-5c93-45ad-9359-78fb21a7f240;Machine Learning - Associação;00. Não esperada;2025-02-27 17:15:23
223;08110dc1-5c93-45ad-9359-78fb21a7f240;Machine Learning - Classificação;00. Não esperada;2025-02-27 17:15:23
224;08110dc1-5c93-45ad-9359-78fb21a7f240;Machine Learning - Regressão;00. Não esperada;2025-02-27 17:15:23
225;08110dc1-5c93-45ad-9359-78fb21a7f240;Negociação;01. Aprendiz;2025-02-27 17:15:23
226;08110dc1-5c93-45ad-9359-78fb21a7f240;Python / R / Julia;01. Aprendiz;2025-02-27 17:15:23
227;08110dc1-5c93-45ad-9359-78fb21a7f240;Simplificação;01. Aprendiz;2025-02-27 17:15:23
228;08110dc1-5c93-45ad-9359-78fb21a7f240;SQL;00. Não esperada;2025-02-27 17:15:23
229;08110dc1-5c93-45ad-9359-78fb21a7f240;Teste de hipótese e Teste A/B;01. Aprendiz;2025-02-27 17:15:23
230;9251f35b-c0a2-40ee-aab8-2ad2f1da50be;Apresentação / Storytelling;01. Aprendiz;2025-02-27 17:19:36
231;9251f35b-c0a2-40ee-aab8-2ad2f1da50be;Comunicação;02. Iniciante;2025-02-27 17:19:36
232;9251f35b-c0a2-40ee-aab8-2ad2f1da50be;Data Visualization;02. Iniciante;2025-02-27 17:19:36
233;9251f35b-c0a2-40ee-aab8-2ad2f1da50be;Estatística descritiva;01. Aprendiz;2025-02-27 17:19:36
234;9251f35b-c0a2-40ee-aab8-2ad2f1da50be;ETL;01. Aprendiz;2025-02-27 17:19:36
235;9251f35b-c0a2-40ee-aab8-2ad2f1da50be;Gestão / Liderança;00. Não esperada;2025-02-27 17:19:36
236;9251f35b-c0a2-40ee-aab8-2ad2f1da50be;Git / GitHub / GitLab / BitBucket;00. Não esperada;2025-02-27 17:19:36
237;9251f35b-c0a2-40ee-aab8-2ad2f1da50be;Inteligência Emocional;02. Iniciante;2025-02-27 17:19:36
238;9251f35b-c0a2-40ee-aab8-2ad2f1da50be;Machine Learning - Agrupamento;01. Aprendiz;2025-02-27 17:19:36
239;9251f35b-c0a2-40ee-aab8-2ad2f1da50be;Machine Learning - Associação;01. Aprendiz;2025-02-27 17:19:36
