descSlugCurso;nrEp;descEpisodio;descYoutubeID
sql-2025;12;Aprenda SQL - Dia 12: CASE WHEN;j_RgoKL1PgI
sql-2025;13;Aprenda SQL - Dia 13: COUNT;YMKDvy7O7t8
sql-2025;14;Aprenda SQL - Dia 14: DISTINCT;lxhbbrCZnsU
sql-2025;15;Aprenda SQL - Dia 15: ESTATÍSTICAS;Ds7RYPRhh-Y
sql-2025;16;Aprenda SQL - Dia 16: GROUP BY;vyXP640E8vw
sql-2025;17;Aprenda SQL - Dia 17: HAVING;AKDAkZDXQu8
sql-2025;18;Aprenda SQL - Dia 18: EXERCÍCIOS;TFt5Hs-L6F4
sql-2025;19;Aprenda SQL - Dia 19: Cruzamento de Dados;G0zcV0OZJM0
sql-2025;20;Aprenda SQL - Dia 20: JOINs;PwL4h66oPZs
sql-2025;21;Aprenda SQL - Dia 21: EXERCÍCIOS;oSYUkr_x83s
sql-2025;22;Aprenda SQL - Dia 22: SubQueries;GMq_i5D2Jw4
sql-2025;23;Aprenda SQL - Dia 23: CTEs;6kh8pQyz-jA
sql-2025;24;Aprenda SQL - Dia 24: EXERCÍCIOS;i3vsaRzvWKE
sql-2025;25;Aprenda SQL - Dia 25: ENUMERANDO LINHAS;cwDfakRemVw
sql-2025;26;Aprenda SQL - Dia 26: WINDOW FUNCTIONS;Zql3MJ26xsw
sql-2025;27;Aprenda SQL - Dia 27: EXERCÍCIOS;U29Lp2c2ZCM
sql-2025;28;Aprenda SQL - Dia 28: DDL e DML;52-TAulVmYU
sql-2025;29;Aprenda SQL - Dia 29: PROJETO FINAL;kyxQGR9ubyA
streamlit-2025;1;Streamlit Relâmpago - Dia 01: O que vamos fazer?;JLcEWe7woVk
streamlit-2025;2;Streamlit Relâmpago - Dia 02: Olá mundo!;LkcsMjC5QOo
streamlit-2025;3;Streamlit Relâmpago - Dia 03: Instituições;tdLEr83m-A4
streamlit-2025;4;Streamlit Relâmpago - Dia 04: Repositório GitHub;W1Z3S-WItvQ
streamlit-2025;5;Streamlit Relâmpago - Dia 05: Estatísticas Gerais;m4mvi0sfM2A
streamlit-2025;6;Streamlit Relâmpago - Dia 06: Metas;cCA49wVWi-E
streamlit-2025;7;Streamlit Relâmpago - Dia 07: Selic;UiMbolODlvs
streamlit-2025;8;Streamlit Relâmpago - Dia 08: Acompanhamento de Metas;4vjMx4PoHNc
streamlit-2025;9;Streamlit Relâmpago - Dia 09: Deploy;FbI03HzijoA
trampar-lakehouse-2024;1;Trampar de lakehouse - Parte 01;3iqHKRjfyA4
trampar-lakehouse-2024;2;Trampar de lakehouse - Parte 02;2XQy-UIOyUw
trampar-lakehouse-2024;3;Trampar de lakehouse - Parte 03;p2DpMP8oiCw
tse-analytics-2024;1;TSE Analytics - Dia 01 parte 01;gc6Xy_1cFkU
tse-analytics-2024;2;TSE Analytics - Dia 01 parte 02;we0Z2Fiu1TY
tse-analytics-2024;3;TSE Analytics - Dia 02;RqkJE4Z4q3o
tse-analytics-2024;4;TSE Analytics - Dia 03;osAqr2JGTNU
tse-analytics-2024;5;TSE Analytics - Dia 04;N5y_jAzjl3g
tse-analytics-2024;6;TSE Analytics - Dia 05;QY2mXevGp5U
tse-analytics-2024;7;TSE Analytics - Dia 06;dBetGOdXgDw
tse-analytics-2024;8;TSE Analytics - Dia 07;aFtytaIc46w
